,min_impurity,max_depth,min_samples_split,Accuracy,Std
268,0.07742636826811278,45.0,6.0,0.06666666666666667,0.0
269,0.07742636826811278,45.0,7.0,0.06666666666666667,0.0
270,0.07742636826811278,56.0,2.0,0.06666666666666667,0.0
271,0.07742636826811278,56.0,3.0,0.06666666666666667,0.0
272,0.07742636826811278,56.0,4.0,0.06666666666666667,0.0
273,0.07742636826811278,56.0,5.0,0.06666666666666667,0.0
274,0.07742636826811278,56.0,6.0,0.06666666666666667,0.0
275,0.07742636826811278,56.0,7.0,0.06666666666666667,0.0
276,0.07742636826811278,67.0,2.0,0.06666666666666667,0.0
277,0.07742636826811278,67.0,3.0,0.06666666666666667,0.0
278,0.07742636826811278,67.0,4.0,0.06666666666666667,0.0
279,0.07742636826811278,67.0,5.0,0.06666666666666667,0.0
280,0.07742636826811278,67.0,6.0,0.06666666666666667,0.0
281,0.07742636826811278,67.0,7.0,0.06666666666666667,0.0
282,0.07742636826811278,78.0,2.0,0.06666666666666667,0.0
283,0.07742636826811278,78.0,3.0,0.06666666666666667,0.0
284,0.07742636826811278,78.0,4.0,0.06666666666666667,0.0
285,0.07742636826811278,78.0,5.0,0.06666666666666667,0.0
286,0.07742636826811278,78.0,6.0,0.06666666666666667,0.0
287,0.07742636826811278,78.0,7.0,0.06666666666666667,0.0
288,0.07742636826811278,89.0,2.0,0.06666666666666667,0.0
289,0.07742636826811278,89.0,3.0,0.06666666666666667,0.0
290,0.07742636826811278,89.0,4.0,0.06666666666666667,0.0
291,0.07742636826811278,89.0,5.0,0.06666666666666667,0.0
292,0.07742636826811278,89.0,6.0,0.06666666666666667,0.0
293,0.07742636826811278,89.0,7.0,0.06666666666666667,0.0
294,0.07742636826811278,100.0,2.0,0.06666666666666667,0.0
295,0.07742636826811278,100.0,3.0,0.06666666666666667,0.0
296,0.07742636826811278,100.0,4.0,0.06666666666666667,0.0
297,0.07742636826811278,100.0,5.0,0.06666666666666667,0.0
298,0.07742636826811278,100.0,6.0,0.06666666666666667,0.0
299,0.07742636826811278,100.0,7.0,0.06666666666666667,0.0
300,12.915496650148826,1.0,2.0,0.06666666666666667,0.0
301,12.915496650148826,1.0,3.0,0.06666666666666667,0.0
302,12.915496650148826,1.0,4.0,0.06666666666666667,0.0
303,12.915496650148826,1.0,5.0,0.06666666666666667,0.0
304,12.915496650148826,1.0,6.0,0.06666666666666667,0.0
305,12.915496650148826,1.0,7.0,0.06666666666666667,0.0
306,12.915496650148826,12.0,2.0,0.06666666666666667,0.0
307,12.915496650148826,12.0,3.0,0.06666666666666667,0.0
308,12.915496650148826,12.0,4.0,0.06666666666666667,0.0
309,12.915496650148826,12.0,5.0,0.06666666666666667,0.0
310,12.915496650148826,12.0,6.0,0.06666666666666667,0.0
311,12.915496650148826,12.0,7.0,0.06666666666666667,0.0
312,12.915496650148826,23.0,2.0,0.06666666666666667,0.0
313,12.915496650148826,23.0,3.0,0.06666666666666667,0.0
314,12.915496650148826,23.0,4.0,0.06666666666666667,0.0
315,12.915496650148826,23.0,5.0,0.06666666666666667,0.0
316,12.915496650148826,23.0,6.0,0.06666666666666667,0.0
317,12.915496650148826,23.0,7.0,0.06666666666666667,0.0
318,12.915496650148826,34.0,2.0,0.06666666666666667,0.0
319,12.915496650148826,34.0,3.0,0.06666666666666667,0.0
320,12.915496650148826,34.0,4.0,0.06666666666666667,0.0
321,12.915496650148826,34.0,5.0,0.06666666666666667,0.0
322,12.915496650148826,34.0,6.0,0.06666666666666667,0.0
323,12.915496650148826,34.0,7.0,0.06666666666666667,0.0
324,12.915496650148826,45.0,2.0,0.06666666666666667,0.0
325,12.915496650148826,45.0,3.0,0.06666666666666667,0.0
326,12.915496650148826,45.0,4.0,0.06666666666666667,0.0
327,12.915496650148826,45.0,5.0,0.06666666666666667,0.0
328,12.915496650148826,45.0,6.0,0.06666666666666667,0.0
329,12.915496650148826,45.0,7.0,0.06666666666666667,0.0
330,12.915496650148826,56.0,2.0,0.06666666666666667,0.0
331,12.915496650148826,56.0,3.0,0.06666666666666667,0.0
332,12.915496650148826,56.0,4.0,0.06666666666666667,0.0
333,12.915496650148826,56.0,5.0,0.06666666666666667,0.0
334,12.915496650148826,56.0,6.0,0.06666666666666667,0.0
335,12.915496650148826,56.0,7.0,0.06666666666666667,0.0
336,12.915496650148826,67.0,2.0,0.06666666666666667,0.0
337,12.915496650148826,67.0,3.0,0.06666666666666667,0.0
338,12.915496650148826,67.0,4.0,0.06666666666666667,0.0
339,12.915496650148826,67.0,5.0,0.06666666666666667,0.0
340,12.915496650148826,67.0,6.0,0.06666666666666667,0.0
341,12.915496650148826,67.0,7.0,0.06666666666666667,0.0
342,12.915496650148826,78.0,2.0,0.06666666666666667,0.0
343,12.915496650148826,78.0,3.0,0.06666666666666667,0.0
344,12.915496650148826,78.0,4.0,0.06666666666666667,0.0
345,12.915496650148826,78.0,5.0,0.06666666666666667,0.0
346,12.915496650148826,78.0,6.0,0.06666666666666667,0.0
347,12.915496650148826,78.0,7.0,0.06666666666666667,0.0
348,12.915496650148826,89.0,2.0,0.06666666666666667,0.0
349,12.915496650148826,89.0,3.0,0.06666666666666667,0.0
350,12.915496650148826,89.0,4.0,0.06666666666666667,0.0
351,12.915496650148826,89.0,5.0,0.06666666666666667,0.0
352,12.915496650148826,89.0,6.0,0.06666666666666667,0.0
353,12.915496650148826,89.0,7.0,0.06666666666666667,0.0
354,12.915496650148826,100.0,2.0,0.06666666666666667,0.0
355,12.915496650148826,100.0,3.0,0.06666666666666667,0.0
356,12.915496650148826,100.0,4.0,0.06666666666666667,0.0
357,12.915496650148826,100.0,5.0,0.06666666666666667,0.0
358,12.915496650148826,100.0,6.0,0.06666666666666667,0.0
359,12.915496650148826,100.0,7.0,0.06666666666666667,0.0
360,2154.4346900318865,1.0,2.0,0.06666666666666667,0.0
361,2154.4346900318865,1.0,3.0,0.06666666666666667,0.0
362,2154.4346900318865,1.0,4.0,0.06666666666666667,0.0
363,2154.4346900318865,1.0,5.0,0.06666666666666667,0.0
364,2154.4346900318865,1.0,6.0,0.06666666666666667,0.0
365,2154.4346900318865,1.0,7.0,0.06666666666666667,0.0
366,2154.4346900318865,12.0,2.0,0.06666666666666667,0.0
367,2154.4346900318865,12.0,3.0,0.06666666666666667,0.0
368,2154.4346900318865,12.0,4.0,0.06666666666666667,0.0
369,2154.4346900318865,12.0,5.0,0.06666666666666667,0.0
370,2154.4346900318865,12.0,6.0,0.06666666666666667,0.0
371,2154.4346900318865,12.0,7.0,0.06666666666666667,0.0
372,2154.4346900318865,23.0,2.0,0.06666666666666667,0.0
373,2154.4346900318865,23.0,3.0,0.06666666666666667,0.0
374,2154.4346900318865,23.0,4.0,0.06666666666666667,0.0
375,2154.4346900318865,23.0,5.0,0.06666666666666667,0.0
376,2154.4346900318865,23.0,6.0,0.06666666666666667,0.0
377,2154.4346900318865,23.0,7.0,0.06666666666666667,0.0
378,2154.4346900318865,34.0,2.0,0.06666666666666667,0.0
379,2154.4346900318865,34.0,3.0,0.06666666666666667,0.0
380,2154.4346900318865,34.0,4.0,0.06666666666666667,0.0
381,2154.4346900318865,34.0,5.0,0.06666666666666667,0.0
382,2154.4346900318865,34.0,6.0,0.06666666666666667,0.0
383,2154.4346900318865,34.0,7.0,0.06666666666666667,0.0
384,2154.4346900318865,45.0,2.0,0.06666666666666667,0.0
385,2154.4346900318865,45.0,3.0,0.06666666666666667,0.0
386,2154.4346900318865,45.0,4.0,0.06666666666666667,0.0
387,2154.4346900318865,45.0,5.0,0.06666666666666667,0.0
388,2154.4346900318865,45.0,6.0,0.06666666666666667,0.0
389,2154.4346900318865,45.0,7.0,0.06666666666666667,0.0
390,2154.4346900318865,56.0,2.0,0.06666666666666667,0.0
391,2154.4346900318865,56.0,3.0,0.06666666666666667,0.0
392,2154.4346900318865,56.0,4.0,0.06666666666666667,0.0
393,2154.4346900318865,56.0,5.0,0.06666666666666667,0.0
394,2154.4346900318865,56.0,6.0,0.06666666666666667,0.0
395,2154.4346900318865,56.0,7.0,0.06666666666666667,0.0
396,2154.4346900318865,67.0,2.0,0.06666666666666667,0.0
397,2154.4346900318865,67.0,3.0,0.06666666666666667,0.0
398,2154.4346900318865,67.0,4.0,0.06666666666666667,0.0
399,2154.4346900318865,67.0,5.0,0.06666666666666667,0.0
400,2154.4346900318865,67.0,6.0,0.06666666666666667,0.0
401,2154.4346900318865,67.0,7.0,0.06666666666666667,0.0
402,2154.4346900318865,78.0,2.0,0.06666666666666667,0.0
403,2154.4346900318865,78.0,3.0,0.06666666666666667,0.0
404,2154.4346900318865,78.0,4.0,0.06666666666666667,0.0
405,2154.4346900318865,78.0,5.0,0.06666666666666667,0.0
406,2154.4346900318865,78.0,6.0,0.06666666666666667,0.0
407,2154.4346900318865,78.0,7.0,0.06666666666666667,0.0
408,2154.4346900318865,89.0,2.0,0.06666666666666667,0.0
409,2154.4346900318865,89.0,3.0,0.06666666666666667,0.0
410,2154.4346900318865,89.0,4.0,0.06666666666666667,0.0
411,2154.4346900318865,89.0,5.0,0.06666666666666667,0.0
412,2154.4346900318865,89.0,6.0,0.06666666666666667,0.0
413,2154.4346900318865,89.0,7.0,0.06666666666666667,0.0
414,2154.4346900318865,100.0,2.0,0.06666666666666667,0.0
415,2154.4346900318865,100.0,3.0,0.06666666666666667,0.0
416,2154.4346900318865,100.0,4.0,0.06666666666666667,0.0
417,2154.4346900318865,100.0,5.0,0.06666666666666667,0.0
418,2154.4346900318865,100.0,6.0,0.06666666666666667,0.0
419,2154.4346900318865,100.0,7.0,0.06666666666666667,0.0
420,359381.36638046405,1.0,2.0,0.06666666666666667,0.0
421,359381.36638046405,1.0,3.0,0.06666666666666667,0.0
422,359381.36638046405,1.0,4.0,0.06666666666666667,0.0
423,359381.36638046405,1.0,5.0,0.06666666666666667,0.0
424,359381.36638046405,1.0,6.0,0.06666666666666667,0.0
425,359381.36638046405,1.0,7.0,0.06666666666666667,0.0
426,359381.36638046405,12.0,2.0,0.06666666666666667,0.0
427,359381.36638046405,12.0,3.0,0.06666666666666667,0.0
428,359381.36638046405,12.0,4.0,0.06666666666666667,0.0
429,359381.36638046405,12.0,5.0,0.06666666666666667,0.0
430,359381.36638046405,12.0,6.0,0.06666666666666667,0.0
431,359381.36638046405,12.0,7.0,0.06666666666666667,0.0
432,359381.36638046405,23.0,2.0,0.06666666666666667,0.0
433,359381.36638046405,23.0,3.0,0.06666666666666667,0.0
434,359381.36638046405,23.0,4.0,0.06666666666666667,0.0
435,359381.36638046405,23.0,5.0,0.06666666666666667,0.0
436,359381.36638046405,23.0,6.0,0.06666666666666667,0.0
437,359381.36638046405,23.0,7.0,0.06666666666666667,0.0
438,359381.36638046405,34.0,2.0,0.06666666666666667,0.0
439,359381.36638046405,34.0,3.0,0.06666666666666667,0.0
440,359381.36638046405,34.0,4.0,0.06666666666666667,0.0
441,359381.36638046405,34.0,5.0,0.06666666666666667,0.0
442,359381.36638046405,34.0,6.0,0.06666666666666667,0.0
443,359381.36638046405,34.0,7.0,0.06666666666666667,0.0
444,359381.36638046405,45.0,2.0,0.06666666666666667,0.0
445,359381.36638046405,45.0,3.0,0.06666666666666667,0.0
446,359381.36638046405,45.0,4.0,0.06666666666666667,0.0
447,359381.36638046405,45.0,5.0,0.06666666666666667,0.0
448,359381.36638046405,45.0,6.0,0.06666666666666667,0.0
449,359381.36638046405,45.0,7.0,0.06666666666666667,0.0
450,359381.36638046405,56.0,2.0,0.06666666666666667,0.0
451,359381.36638046405,56.0,3.0,0.06666666666666667,0.0
452,359381.36638046405,56.0,4.0,0.06666666666666667,0.0
453,359381.36638046405,56.0,5.0,0.06666666666666667,0.0
454,359381.36638046405,56.0,6.0,0.06666666666666667,0.0
455,359381.36638046405,56.0,7.0,0.06666666666666667,0.0
456,359381.36638046405,67.0,2.0,0.06666666666666667,0.0
457,359381.36638046405,67.0,3.0,0.06666666666666667,0.0
458,359381.36638046405,67.0,4.0,0.06666666666666667,0.0
459,359381.36638046405,67.0,5.0,0.06666666666666667,0.0
460,359381.36638046405,67.0,6.0,0.06666666666666667,0.0
461,359381.36638046405,67.0,7.0,0.06666666666666667,0.0
462,359381.36638046405,78.0,2.0,0.06666666666666667,0.0
463,359381.36638046405,78.0,3.0,0.06666666666666667,0.0
464,359381.36638046405,78.0,4.0,0.06666666666666667,0.0
465,359381.36638046405,78.0,5.0,0.06666666666666667,0.0
466,359381.36638046405,78.0,6.0,0.06666666666666667,0.0
467,359381.36638046405,78.0,7.0,0.06666666666666667,0.0
468,359381.36638046405,89.0,2.0,0.06666666666666667,0.0
469,359381.36638046405,89.0,3.0,0.06666666666666667,0.0
470,359381.36638046405,89.0,4.0,0.06666666666666667,0.0
471,359381.36638046405,89.0,5.0,0.06666666666666667,0.0
472,359381.36638046405,89.0,6.0,0.06666666666666667,0.0
473,359381.36638046405,89.0,7.0,0.06666666666666667,0.0
474,359381.36638046405,100.0,2.0,0.06666666666666667,0.0
475,359381.36638046405,100.0,3.0,0.06666666666666667,0.0
476,359381.36638046405,100.0,4.0,0.06666666666666667,0.0
477,359381.36638046405,100.0,5.0,0.06666666666666667,0.0
478,359381.36638046405,100.0,6.0,0.06666666666666667,0.0
479,359381.36638046405,100.0,7.0,0.06666666666666667,0.0
480,59948425.03189421,1.0,2.0,0.06666666666666667,0.0
481,59948425.03189421,1.0,3.0,0.06666666666666667,0.0
482,59948425.03189421,1.0,4.0,0.06666666666666667,0.0
483,59948425.03189421,1.0,5.0,0.06666666666666667,0.0
484,59948425.03189421,1.0,6.0,0.06666666666666667,0.0
485,59948425.03189421,1.0,7.0,0.06666666666666667,0.0
486,59948425.03189421,12.0,2.0,0.06666666666666667,0.0
487,59948425.03189421,12.0,3.0,0.06666666666666667,0.0
488,59948425.03189421,12.0,4.0,0.06666666666666667,0.0
489,59948425.03189421,12.0,5.0,0.06666666666666667,0.0
490,59948425.03189421,12.0,6.0,0.06666666666666667,0.0
491,59948425.03189421,12.0,7.0,0.06666666666666667,0.0
492,59948425.03189421,23.0,2.0,0.06666666666666667,0.0
493,59948425.03189421,23.0,3.0,0.06666666666666667,0.0
494,59948425.03189421,23.0,4.0,0.06666666666666667,0.0
495,59948425.03189421,23.0,5.0,0.06666666666666667,0.0
496,59948425.03189421,23.0,6.0,0.06666666666666667,0.0
497,59948425.03189421,23.0,7.0,0.06666666666666667,0.0
498,59948425.03189421,34.0,2.0,0.06666666666666667,0.0
499,59948425.03189421,34.0,3.0,0.06666666666666667,0.0
500,59948425.03189421,34.0,4.0,0.06666666666666667,0.0
501,59948425.03189421,34.0,5.0,0.06666666666666667,0.0
502,59948425.03189421,34.0,6.0,0.06666666666666667,0.0
503,59948425.03189421,34.0,7.0,0.06666666666666667,0.0
504,59948425.03189421,45.0,2.0,0.06666666666666667,0.0
505,59948425.03189421,45.0,3.0,0.06666666666666667,0.0
506,59948425.03189421,45.0,4.0,0.06666666666666667,0.0
507,59948425.03189421,45.0,5.0,0.06666666666666667,0.0
508,59948425.03189421,45.0,6.0,0.06666666666666667,0.0
509,59948425.03189421,45.0,7.0,0.06666666666666667,0.0
510,59948425.03189421,56.0,2.0,0.06666666666666667,0.0
511,59948425.03189421,56.0,3.0,0.06666666666666667,0.0
512,59948425.03189421,56.0,4.0,0.06666666666666667,0.0
513,59948425.03189421,56.0,5.0,0.06666666666666667,0.0
514,59948425.03189421,56.0,6.0,0.06666666666666667,0.0
515,59948425.03189421,56.0,7.0,0.06666666666666667,0.0
516,59948425.03189421,67.0,2.0,0.06666666666666667,0.0
517,59948425.03189421,67.0,3.0,0.06666666666666667,0.0
518,59948425.03189421,67.0,4.0,0.06666666666666667,0.0
519,59948425.03189421,67.0,5.0,0.06666666666666667,0.0
520,59948425.03189421,67.0,6.0,0.06666666666666667,0.0
521,59948425.03189421,67.0,7.0,0.06666666666666667,0.0
522,59948425.03189421,78.0,2.0,0.06666666666666667,0.0
523,59948425.03189421,78.0,3.0,0.06666666666666667,0.0
524,59948425.03189421,78.0,4.0,0.06666666666666667,0.0
525,59948425.03189421,78.0,5.0,0.06666666666666667,0.0
526,59948425.03189421,78.0,6.0,0.06666666666666667,0.0
527,59948425.03189421,78.0,7.0,0.06666666666666667,0.0
528,59948425.03189421,89.0,2.0,0.06666666666666667,0.0
529,59948425.03189421,89.0,3.0,0.06666666666666667,0.0
530,59948425.03189421,89.0,4.0,0.06666666666666667,0.0
531,59948425.03189421,89.0,5.0,0.06666666666666667,0.0
532,59948425.03189421,89.0,6.0,0.06666666666666667,0.0
533,59948425.03189421,89.0,7.0,0.06666666666666667,0.0
534,59948425.03189421,100.0,2.0,0.06666666666666667,0.0
535,59948425.03189421,100.0,3.0,0.06666666666666667,0.0
536,59948425.03189421,100.0,4.0,0.06666666666666667,0.0
537,59948425.03189421,100.0,5.0,0.06666666666666667,0.0
538,59948425.03189421,100.0,6.0,0.06666666666666667,0.0
539,59948425.03189421,100.0,7.0,0.06666666666666667,0.0
540,10000000000.0,1.0,2.0,0.06666666666666667,0.0
541,10000000000.0,1.0,3.0,0.06666666666666667,0.0
542,10000000000.0,1.0,4.0,0.06666666666666667,0.0
543,10000000000.0,1.0,5.0,0.06666666666666667,0.0
544,10000000000.0,1.0,6.0,0.06666666666666667,0.0
545,10000000000.0,1.0,7.0,0.06666666666666667,0.0
546,10000000000.0,12.0,2.0,0.06666666666666667,0.0
547,10000000000.0,12.0,3.0,0.06666666666666667,0.0
548,10000000000.0,12.0,4.0,0.06666666666666667,0.0
549,10000000000.0,12.0,5.0,0.06666666666666667,0.0
550,10000000000.0,12.0,6.0,0.06666666666666667,0.0
551,10000000000.0,12.0,7.0,0.06666666666666667,0.0
552,10000000000.0,23.0,2.0,0.06666666666666667,0.0
553,10000000000.0,23.0,3.0,0.06666666666666667,0.0
554,10000000000.0,23.0,4.0,0.06666666666666667,0.0
555,10000000000.0,23.0,5.0,0.06666666666666667,0.0
556,10000000000.0,23.0,6.0,0.06666666666666667,0.0
557,10000000000.0,23.0,7.0,0.06666666666666667,0.0
558,10000000000.0,34.0,2.0,0.06666666666666667,0.0
559,10000000000.0,34.0,3.0,0.06666666666666667,0.0
560,10000000000.0,34.0,4.0,0.06666666666666667,0.0
561,10000000000.0,34.0,5.0,0.06666666666666667,0.0
562,10000000000.0,34.0,6.0,0.06666666666666667,0.0
563,10000000000.0,34.0,7.0,0.06666666666666667,0.0
564,10000000000.0,45.0,2.0,0.06666666666666667,0.0
565,10000000000.0,45.0,3.0,0.06666666666666667,0.0
566,10000000000.0,45.0,4.0,0.06666666666666667,0.0
567,10000000000.0,45.0,5.0,0.06666666666666667,0.0
568,10000000000.0,45.0,6.0,0.06666666666666667,0.0
569,10000000000.0,45.0,7.0,0.06666666666666667,0.0
570,10000000000.0,56.0,2.0,0.06666666666666667,0.0
571,10000000000.0,56.0,3.0,0.06666666666666667,0.0
572,10000000000.0,56.0,4.0,0.06666666666666667,0.0
573,10000000000.0,56.0,5.0,0.06666666666666667,0.0
574,10000000000.0,56.0,6.0,0.06666666666666667,0.0
575,10000000000.0,56.0,7.0,0.06666666666666667,0.0
576,10000000000.0,67.0,2.0,0.06666666666666667,0.0
577,10000000000.0,67.0,3.0,0.06666666666666667,0.0
578,10000000000.0,67.0,4.0,0.06666666666666667,0.0
579,10000000000.0,67.0,5.0,0.06666666666666667,0.0
580,10000000000.0,67.0,6.0,0.06666666666666667,0.0
581,10000000000.0,67.0,7.0,0.06666666666666667,0.0
582,10000000000.0,78.0,2.0,0.06666666666666667,0.0
583,10000000000.0,78.0,3.0,0.06666666666666667,0.0
584,10000000000.0,78.0,4.0,0.06666666666666667,0.0
585,10000000000.0,78.0,5.0,0.06666666666666667,0.0
586,10000000000.0,78.0,6.0,0.06666666666666667,0.0
587,10000000000.0,78.0,7.0,0.06666666666666667,0.0
588,10000000000.0,89.0,2.0,0.06666666666666667,0.0
589,10000000000.0,89.0,3.0,0.06666666666666667,0.0
590,10000000000.0,89.0,4.0,0.06666666666666667,0.0
591,10000000000.0,89.0,5.0,0.06666666666666667,0.0
592,10000000000.0,89.0,6.0,0.06666666666666667,0.0
593,10000000000.0,89.0,7.0,0.06666666666666667,0.0
594,10000000000.0,100.0,2.0,0.06666666666666667,0.0
595,10000000000.0,100.0,3.0,0.06666666666666667,0.0
596,10000000000.0,100.0,4.0,0.06666666666666667,0.0
597,10000000000.0,100.0,5.0,0.06666666666666667,0.0
598,10000000000.0,100.0,6.0,0.06666666666666667,0.0
599,10000000000.0,100.0,7.0,0.06666666666666667,0.0
