,C,Gamma,Degree,Accuracy,Std
0,1e-10,1.0,2.0,0.30909090909090914,0.1484539238050411
1,1e-10,1.0,3.0,0.09696969696969697,0.043703651823805936
2,1e-10,1.0,4.0,0.07272727272727272,0.019165319152535634
3,1e-10,1.0,5.0,0.06666666666666667,0.0
4,1e-10,1.0,6.0,0.0787878787878788,0.025712973861329
5,1e-10,0.0774263682681127,2.0,0.30909090909090914,0.1484539238050411
6,1e-10,0.0774263682681127,3.0,0.09696969696969697,0.043703651823805936
7,1e-10,0.0774263682681127,4.0,0.07272727272727272,0.019165319152535634
8,1e-10,0.0774263682681127,5.0,0.06666666666666667,0.0
9,1e-10,0.0774263682681127,6.0,0.06666666666666667,0.0
10,1e-10,0.005994842503189409,2.0,0.30909090909090914,0.1484539238050411
11,1e-10,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
12,1e-10,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
13,1e-10,0.005994842503189409,5.0,0.06666666666666667,0.0
14,1e-10,0.005994842503189409,6.0,0.06666666666666667,0.0
15,1e-10,0.00046415888336127773,2.0,0.3151515151515152,0.13952562949359196
16,1e-10,0.00046415888336127773,3.0,0.10909090909090909,0.04285495643554833
17,1e-10,0.00046415888336127773,4.0,0.15757575757575756,0.04285495643554833
18,1e-10,0.00046415888336127773,5.0,0.9575757575757577,0.042854956435548326
19,1e-10,0.00046415888336127773,6.0,0.890909090909091,0.12151477367129347
20,1e-10,3.5938136638046256e-05,2.0,0.4,0.17291324385075277
21,1e-10,3.5938136638046256e-05,3.0,0.9818181818181819,0.029690784761008216
22,1e-10,3.5938136638046256e-05,4.0,0.9090909090909091,0.09958591954639384
23,1e-10,3.5938136638046256e-05,5.0,0.9575757575757577,0.042854956435548326
24,1e-10,3.5938136638046256e-05,6.0,0.890909090909091,0.12151477367129347
25,1e-10,2.782559402207126e-06,2.0,0.9333333333333335,0.0984731927834662
26,1e-10,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216
27,1e-10,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384
28,1e-10,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
29,1e-10,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
30,1e-10,2.1544346900318822e-07,2.0,0.9333333333333335,0.0984731927834662
31,1e-10,2.1544346900318822e-07,3.0,0.9818181818181819,0.029690784761008216
32,1e-10,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
33,1e-10,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
34,1e-10,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
35,1e-10,1.6681005372000556e-08,2.0,0.9333333333333335,0.0984731927834662
36,1e-10,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
37,1e-10,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
38,1e-10,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
39,1e-10,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
40,1e-10,1.2915496650148826e-09,2.0,0.9333333333333335,0.0984731927834662
41,1e-10,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
42,1e-10,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
43,1e-10,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
44,1e-10,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
45,1e-10,1e-10,2.0,0.9333333333333335,0.0984731927834662
46,1e-10,1e-10,3.0,0.9818181818181819,0.029690784761008216
47,1e-10,1e-10,4.0,0.9090909090909091,0.09958591954639384
48,1e-10,1e-10,5.0,0.9575757575757577,0.042854956435548326
49,1e-10,1e-10,6.0,0.890909090909091,0.12151477367129347
50,1.6681005372000592e-08,1.0,2.0,0.30909090909090914,0.1484539238050411
51,1.6681005372000592e-08,1.0,3.0,0.09696969696969697,0.043703651823805936
52,1.6681005372000592e-08,1.0,4.0,0.07272727272727272,0.019165319152535634
53,1.6681005372000592e-08,1.0,5.0,0.2545454545454546,0.19030689052251615
54,1.6681005372000592e-08,1.0,6.0,0.3333333333333333,0.23094010767585033
55,1.6681005372000592e-08,0.0774263682681127,2.0,0.30909090909090914,0.1484539238050411
56,1.6681005372000592e-08,0.0774263682681127,3.0,0.09696969696969697,0.043703651823805936
57,1.6681005372000592e-08,0.0774263682681127,4.0,0.07272727272727272,0.019165319152535634
58,1.6681005372000592e-08,0.0774263682681127,5.0,0.06666666666666667,0.0
59,1.6681005372000592e-08,0.0774263682681127,6.0,0.06666666666666667,0.0
60,1.6681005372000592e-08,0.005994842503189409,2.0,0.30909090909090914,0.1484539238050411
61,1.6681005372000592e-08,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
62,1.6681005372000592e-08,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
63,1.6681005372000592e-08,0.005994842503189409,5.0,0.06666666666666667,0.0
64,1.6681005372000592e-08,0.005994842503189409,6.0,0.06666666666666667,0.0
65,1.6681005372000592e-08,0.00046415888336127773,2.0,0.30909090909090914,0.1484539238050411
66,1.6681005372000592e-08,0.00046415888336127773,3.0,0.09696969696969697,0.043703651823805936
67,1.6681005372000592e-08,0.00046415888336127773,4.0,0.07272727272727272,0.019165319152535634
68,1.6681005372000592e-08,0.00046415888336127773,5.0,0.0787878787878788,0.025712973861329
69,1.6681005372000592e-08,0.00046415888336127773,6.0,0.5878787878787878,0.05554637206007078
70,1.6681005372000592e-08,3.5938136638046256e-05,2.0,0.3151515151515152,0.13952562949359196
71,1.6681005372000592e-08,3.5938136638046256e-05,3.0,0.20606060606060606,0.05999693900976767
72,1.6681005372000592e-08,3.5938136638046256e-05,4.0,0.9090909090909091,0.09958591954639384
73,1.6681005372000592e-08,3.5938136638046256e-05,5.0,0.9575757575757577,0.042854956435548326
74,1.6681005372000592e-08,3.5938136638046256e-05,6.0,0.890909090909091,0.12151477367129347
75,1.6681005372000592e-08,2.782559402207126e-06,2.0,0.4,0.17291324385075277
76,1.6681005372000592e-08,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216
77,1.6681005372000592e-08,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384
78,1.6681005372000592e-08,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
79,1.6681005372000592e-08,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
80,1.6681005372000592e-08,2.1544346900318822e-07,2.0,0.9333333333333335,0.0984731927834662
81,1.6681005372000592e-08,2.1544346900318822e-07,3.0,0.9818181818181819,0.029690784761008216
82,1.6681005372000592e-08,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
83,1.6681005372000592e-08,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
84,1.6681005372000592e-08,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
85,1.6681005372000592e-08,1.6681005372000556e-08,2.0,0.9333333333333335,0.0984731927834662
86,1.6681005372000592e-08,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
87,1.6681005372000592e-08,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
88,1.6681005372000592e-08,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
89,1.6681005372000592e-08,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
90,1.6681005372000592e-08,1.2915496650148826e-09,2.0,0.9333333333333335,0.0984731927834662
91,1.6681005372000592e-08,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
92,1.6681005372000592e-08,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
93,1.6681005372000592e-08,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
94,1.6681005372000592e-08,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
95,1.6681005372000592e-08,1e-10,2.0,0.9333333333333335,0.0984731927834662
96,1.6681005372000592e-08,1e-10,3.0,0.9818181818181819,0.029690784761008216
97,1.6681005372000592e-08,1e-10,4.0,0.9090909090909091,0.09958591954639384
98,1.6681005372000592e-08,1e-10,5.0,0.9575757575757577,0.042854956435548326
99,1.6681005372000592e-08,1e-10,6.0,0.890909090909091,0.12151477367129347
100,2.782559402207126e-06,1.0,2.0,0.30909090909090914,0.1484539238050411
101,2.782559402207126e-06,1.0,3.0,0.09696969696969697,0.043703651823805936
102,2.782559402207126e-06,1.0,4.0,0.496969696969697,0.2595468255195619
103,2.782559402207126e-06,1.0,5.0,0.37575757575757573,0.25627120620443605
104,2.782559402207126e-06,1.0,6.0,0.3333333333333333,0.23094010767585033
105,2.782559402207126e-06,0.0774263682681127,2.0,0.30909090909090914,0.1484539238050411
106,2.782559402207126e-06,0.0774263682681127,3.0,0.09696969696969697,0.043703651823805936
107,2.782559402207126e-06,0.0774263682681127,4.0,0.07272727272727272,0.019165319152535634
108,2.782559402207126e-06,0.0774263682681127,5.0,0.06666666666666667,0.0
109,2.782559402207126e-06,0.0774263682681127,6.0,0.06666666666666667,0.0
110,2.782559402207126e-06,0.005994842503189409,2.0,0.30909090909090914,0.1484539238050411
111,2.782559402207126e-06,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
112,2.782559402207126e-06,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
113,2.782559402207126e-06,0.005994842503189409,5.0,0.06666666666666667,0.0
114,2.782559402207126e-06,0.005994842503189409,6.0,0.06666666666666667,0.0
115,2.782559402207126e-06,0.00046415888336127773,2.0,0.30909090909090914,0.1484539238050411
116,2.782559402207126e-06,0.00046415888336127773,3.0,0.09696969696969697,0.043703651823805936
117,2.782559402207126e-06,0.00046415888336127773,4.0,0.07272727272727272,0.019165319152535634
118,2.782559402207126e-06,0.00046415888336127773,5.0,0.06666666666666667,0.0
119,2.782559402207126e-06,0.00046415888336127773,6.0,0.07272727272727272,0.019165319152535634
120,2.782559402207126e-06,3.5938136638046256e-05,2.0,0.30909090909090914,0.1484539238050411
121,2.782559402207126e-06,3.5938136638046256e-05,3.0,0.09696969696969697,0.043703651823805936
122,2.782559402207126e-06,3.5938136638046256e-05,4.0,0.15757575757575756,0.04285495643554833
123,2.782559402207126e-06,3.5938136638046256e-05,5.0,0.9575757575757577,0.042854956435548326
124,2.782559402207126e-06,3.5938136638046256e-05,6.0,0.890909090909091,0.12151477367129347
125,2.782559402207126e-06,2.782559402207126e-06,2.0,0.3151515151515152,0.13952562949359196
126,2.782559402207126e-06,2.782559402207126e-06,3.0,0.8666666666666668,0.028426762180748053
127,2.782559402207126e-06,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384
128,2.782559402207126e-06,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
129,2.782559402207126e-06,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
130,2.782559402207126e-06,2.1544346900318822e-07,2.0,0.4,0.17291324385075277
131,2.782559402207126e-06,2.1544346900318822e-07,3.0,0.9818181818181819,0.029690784761008216
132,2.782559402207126e-06,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
133,2.782559402207126e-06,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
134,2.782559402207126e-06,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
135,2.782559402207126e-06,1.6681005372000556e-08,2.0,0.9333333333333335,0.0984731927834662
136,2.782559402207126e-06,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
137,2.782559402207126e-06,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
138,2.782559402207126e-06,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
139,2.782559402207126e-06,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
140,2.782559402207126e-06,1.2915496650148826e-09,2.0,0.9333333333333335,0.0984731927834662
141,2.782559402207126e-06,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
142,2.782559402207126e-06,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
143,2.782559402207126e-06,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
144,2.782559402207126e-06,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
145,2.782559402207126e-06,1e-10,2.0,0.9333333333333335,0.0984731927834662
146,2.782559402207126e-06,1e-10,3.0,0.9818181818181819,0.029690784761008216
147,2.782559402207126e-06,1e-10,4.0,0.9090909090909091,0.09958591954639384
148,2.782559402207126e-06,1e-10,5.0,0.9575757575757577,0.042854956435548326
149,2.782559402207126e-06,1e-10,6.0,0.890909090909091,0.12151477367129347
150,0.0004641588833612782,1.0,2.0,0.8303030303030302,0.16663911618021235
151,0.0004641588833612782,1.0,3.0,0.6606060606060606,0.24029366789816978
152,0.0004641588833612782,1.0,4.0,0.4848484848484848,0.2622219109428356
153,0.0004641588833612782,1.0,5.0,0.37575757575757573,0.25627120620443605
154,0.0004641588833612782,1.0,6.0,0.3333333333333333,0.23094010767585033
155,0.0004641588833612782,0.0774263682681127,2.0,0.30909090909090914,0.1484539238050411
156,0.0004641588833612782,0.0774263682681127,3.0,0.09696969696969697,0.043703651823805936
157,0.0004641588833612782,0.0774263682681127,4.0,0.07272727272727272,0.019165319152535634
158,0.0004641588833612782,0.0774263682681127,5.0,0.06666666666666667,0.0
159,0.0004641588833612782,0.0774263682681127,6.0,0.0787878787878788,0.025712973861329
160,0.0004641588833612782,0.005994842503189409,2.0,0.30909090909090914,0.1484539238050411
161,0.0004641588833612782,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
162,0.0004641588833612782,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
163,0.0004641588833612782,0.005994842503189409,5.0,0.06666666666666667,0.0
164,0.0004641588833612782,0.005994842503189409,6.0,0.06666666666666667,0.0
165,0.0004641588833612782,0.00046415888336127773,2.0,0.30909090909090914,0.1484539238050411
166,0.0004641588833612782,0.00046415888336127773,3.0,0.09696969696969697,0.043703651823805936
167,0.0004641588833612782,0.00046415888336127773,4.0,0.07272727272727272,0.019165319152535634
168,0.0004641588833612782,0.00046415888336127773,5.0,0.06666666666666667,0.0
169,0.0004641588833612782,0.00046415888336127773,6.0,0.06666666666666667,0.0
170,0.0004641588833612782,3.5938136638046256e-05,2.0,0.30909090909090914,0.1484539238050411
171,0.0004641588833612782,3.5938136638046256e-05,3.0,0.09696969696969697,0.043703651823805936
172,0.0004641588833612782,3.5938136638046256e-05,4.0,0.07272727272727272,0.019165319152535634
173,0.0004641588833612782,3.5938136638046256e-05,5.0,0.36363636363636365,0.052135304648743205
174,0.0004641588833612782,3.5938136638046256e-05,6.0,0.890909090909091,0.12151477367129347
175,0.0004641588833612782,2.782559402207126e-06,2.0,0.30909090909090914,0.1484539238050411
176,0.0004641588833612782,2.782559402207126e-06,3.0,0.10909090909090909,0.04285495643554833
177,0.0004641588833612782,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384
178,0.0004641588833612782,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
179,0.0004641588833612782,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
180,0.0004641588833612782,2.1544346900318822e-07,2.0,0.3151515151515152,0.13952562949359196
181,0.0004641588833612782,2.1544346900318822e-07,3.0,0.9818181818181819,0.029690784761008216
182,0.0004641588833612782,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
183,0.0004641588833612782,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
184,0.0004641588833612782,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
185,0.0004641588833612782,1.6681005372000556e-08,2.0,0.4,0.17291324385075277
186,0.0004641588833612782,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
187,0.0004641588833612782,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
188,0.0004641588833612782,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
189,0.0004641588833612782,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
190,0.0004641588833612782,1.2915496650148826e-09,2.0,0.9333333333333335,0.0984731927834662
191,0.0004641588833612782,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
192,0.0004641588833612782,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
193,0.0004641588833612782,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
194,0.0004641588833612782,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
195,0.0004641588833612782,1e-10,2.0,0.9333333333333335,0.0984731927834662
196,0.0004641588833612782,1e-10,3.0,0.9818181818181819,0.029690784761008216
197,0.0004641588833612782,1e-10,4.0,0.9090909090909091,0.09958591954639384
198,0.0004641588833612782,1e-10,5.0,0.9575757575757577,0.042854956435548326
199,0.0004641588833612782,1e-10,6.0,0.890909090909091,0.12151477367129347
200,0.07742636826811278,1.0,2.0,0.8303030303030304,0.18719327529067276
201,0.07742636826811278,1.0,3.0,0.6606060606060606,0.24029366789816978
202,0.07742636826811278,1.0,4.0,0.4848484848484848,0.2622219109428356
203,0.07742636826811278,1.0,5.0,0.37575757575757573,0.25627120620443605
204,0.07742636826811278,1.0,6.0,0.3333333333333333,0.23094010767585033
205,0.07742636826811278,0.0774263682681127,2.0,0.8303030303030302,0.16663911618021235
206,0.07742636826811278,0.0774263682681127,3.0,0.6727272727272727,0.24692786409046497
207,0.07742636826811278,0.0774263682681127,4.0,0.496969696969697,0.2595468255195619
208,0.07742636826811278,0.0774263682681127,5.0,0.3878787878787879,0.24257571025684244
209,0.07742636826811278,0.0774263682681127,6.0,0.3333333333333333,0.23094010767585033
210,0.07742636826811278,0.005994842503189409,2.0,0.30909090909090914,0.1484539238050411
211,0.07742636826811278,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
212,0.07742636826811278,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
213,0.07742636826811278,0.005994842503189409,5.0,0.06666666666666667,0.0
214,0.07742636826811278,0.005994842503189409,6.0,0.06666666666666667,0.0
215,0.07742636826811278,0.00046415888336127773,2.0,0.30909090909090914,0.1484539238050411
216,0.07742636826811278,0.00046415888336127773,3.0,0.09696969696969697,0.043703651823805936
217,0.07742636826811278,0.00046415888336127773,4.0,0.07272727272727272,0.019165319152535634
218,0.07742636826811278,0.00046415888336127773,5.0,0.06666666666666667,0.0
219,0.07742636826811278,0.00046415888336127773,6.0,0.06666666666666667,0.0
220,0.07742636826811278,3.5938136638046256e-05,2.0,0.30909090909090914,0.1484539238050411
221,0.07742636826811278,3.5938136638046256e-05,3.0,0.09696969696969697,0.043703651823805936
222,0.07742636826811278,3.5938136638046256e-05,4.0,0.07272727272727272,0.019165319152535634
223,0.07742636826811278,3.5938136638046256e-05,5.0,0.06666666666666667,0.0
224,0.07742636826811278,3.5938136638046256e-05,6.0,0.5878787878787878,0.05554637206007078
225,0.07742636826811278,2.782559402207126e-06,2.0,0.30909090909090914,0.1484539238050411
226,0.07742636826811278,2.782559402207126e-06,3.0,0.09696969696969697,0.043703651823805936
227,0.07742636826811278,2.782559402207126e-06,4.0,0.15757575757575756,0.04285495643554833
228,0.07742636826811278,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
229,0.07742636826811278,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
230,0.07742636826811278,2.1544346900318822e-07,2.0,0.30909090909090914,0.1484539238050411
231,0.07742636826811278,2.1544346900318822e-07,3.0,0.20606060606060606,0.05999693900976767
232,0.07742636826811278,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
233,0.07742636826811278,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
234,0.07742636826811278,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
235,0.07742636826811278,1.6681005372000556e-08,2.0,0.3151515151515152,0.13952562949359196
236,0.07742636826811278,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
237,0.07742636826811278,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
238,0.07742636826811278,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
239,0.07742636826811278,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
240,0.07742636826811278,1.2915496650148826e-09,2.0,0.4,0.17291324385075277
241,0.07742636826811278,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
242,0.07742636826811278,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
243,0.07742636826811278,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
244,0.07742636826811278,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
245,0.07742636826811278,1e-10,2.0,0.9333333333333335,0.0984731927834662
246,0.07742636826811278,1e-10,3.0,0.9818181818181819,0.029690784761008216
247,0.07742636826811278,1e-10,4.0,0.9090909090909091,0.09958591954639384
248,0.07742636826811278,1e-10,5.0,0.9575757575757577,0.042854956435548326
